  0%|                                                                                                                                                              | 0/10955 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                                                                                                                                                             
{'eval_dim_768_cosine_accuracy@1': 0.602081811541271, 'eval_dim_768_cosine_accuracy@3': 0.7399561723886048, 'eval_dim_768_cosine_accuracy@5': 0.7868882395909423, 'eval_dim_768_cosine_accuracy@10': 0.8440467494521549, 'eval_dim_768_cosine_precision@1': 0.602081811541271, 'eval_dim_768_cosine_precision@3': 0.24665205746286825, 'eval_dim_768_cosine_precision@5': 0.15737764791818842, 'eval_dim_768_cosine_precision@10': 0.08440467494521547, 'eval_dim_768_cosine_recall@1': 0.602081811541271, 'eval_dim_768_cosine_recall@3': 0.7399561723886048, 'eval_dim_768_cosine_recall@5': 0.7868882395909423, 'eval_dim_768_cosine_recall@10': 0.8440467494521549, 'eval_dim_768_cosine_ndcg@10': 0.7209976840462007, 'eval_dim_768_cosine_mrr@10': 0.6818733550152477, 'eval_dim_768_cosine_map@100': 0.6873700260174861, 'eval_runtime': 8.2939, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 2.0}
{'loss': 0.0917, 'grad_norm': 0.74979168176651, 'learning_rate': 1e-06, 'epoch': 2.01}
{'loss': 0.0913, 'grad_norm': 10.396183013916016, 'learning_rate': 1e-06, 'epoch': 2.05}
{'loss': 0.0925, 'grad_norm': 2.5648467540740967, 'learning_rate': 1e-06, 'epoch': 2.1}
{'loss': 0.0854, 'grad_norm': 2.1624064445495605, 'learning_rate': 1e-06, 'epoch': 2.15}
{'loss': 0.1079, 'grad_norm': 10.305582046508789, 'learning_rate': 1e-06, 'epoch': 2.19}
{'loss': 0.084, 'grad_norm': 3.6259286403656006, 'learning_rate': 1e-06, 'epoch': 2.24}
{'loss': 0.1035, 'grad_norm': 2.4980697631835938, 'learning_rate': 1e-06, 'epoch': 2.28}
{'loss': 0.0902, 'grad_norm': 2.3262882232666016, 'learning_rate': 1e-06, 'epoch': 2.33}
{'loss': 0.1084, 'grad_norm': 13.980064392089844, 'learning_rate': 1e-06, 'epoch': 2.37}
{'loss': 0.0989, 'grad_norm': 3.181396961212158, 'learning_rate': 1e-06, 'epoch': 2.42}
{'loss': 0.0795, 'grad_norm': 8.495481491088867, 'learning_rate': 1e-06, 'epoch': 2.46}
{'loss': 0.1156, 'grad_norm': 10.37185001373291, 'learning_rate': 1e-06, 'epoch': 2.51}
{'loss': 0.0831, 'grad_norm': 1.888771414756775, 'learning_rate': 1e-06, 'epoch': 2.56}
{'loss': 0.0808, 'grad_norm': 9.720536231994629, 'learning_rate': 1e-06, 'epoch': 2.6}
{'loss': 0.0872, 'grad_norm': 1.5389678478240967, 'learning_rate': 1e-06, 'epoch': 2.65}
{'loss': 0.1014, 'grad_norm': 3.333143472671509, 'learning_rate': 1e-06, 'epoch': 2.69}
{'loss': 0.0897, 'grad_norm': 14.20435619354248, 'learning_rate': 1e-06, 'epoch': 2.74}
{'loss': 0.0666, 'grad_norm': 7.647151947021484, 'learning_rate': 1e-06, 'epoch': 2.78}
{'loss': 0.0979, 'grad_norm': 3.1313369274139404, 'learning_rate': 1e-06, 'epoch': 2.83}
{'loss': 0.0866, 'grad_norm': 11.105208396911621, 'learning_rate': 1e-06, 'epoch': 2.88}
{'loss': 0.0733, 'grad_norm': 9.67095947265625, 'learning_rate': 1e-06, 'epoch': 2.92}
{'loss': 0.1008, 'grad_norm': 2.634277582168579, 'learning_rate': 1e-06, 'epoch': 2.97}
{'eval_dim_768_cosine_accuracy@1': 0.6238130021913806, 'eval_dim_768_cosine_accuracy@3': 0.7558436815193572, 'eval_dim_768_cosine_accuracy@5': 0.8033235938641344, 'eval_dim_768_cosine_accuracy@10': 0.8557341124908693, 'eval_dim_768_cosine_precision@1': 0.6238130021913806, 'eval_dim_768_cosine_precision@3': 0.2519478938397857, 'eval_dim_768_cosine_precision@5': 0.16066471877282687, 'eval_dim_768_cosine_precision@10': 0.08557341124908692, 'eval_dim_768_cosine_recall@1': 0.6238130021913806, 'eval_dim_768_cosine_recall@3': 0.7558436815193572, 'eval_dim_768_cosine_recall@5': 0.8033235938641344, 'eval_dim_768_cosine_recall@10': 0.8557341124908693, 'eval_dim_768_cosine_ndcg@10': 0.7378648881550384, 'eval_dim_768_cosine_mrr@10': 0.7003421133488722, 'eval_dim_768_cosine_map@100': 0.7057177185994806, 'eval_runtime': 8.3979, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 3.0}
{'loss': 0.0931, 'grad_norm': 6.377744674682617, 'learning_rate': 1e-06, 'epoch': 3.01}
{'loss': 0.0872, 'grad_norm': 11.840694427490234, 'learning_rate': 1e-06, 'epoch': 3.06}
{'loss': 0.0906, 'grad_norm': 11.077346801757812, 'learning_rate': 1e-06, 'epoch': 3.1}
