                                                                                                                                                                                             
{'eval_dim_768_cosine_accuracy@1': 0.4368151935719503, 'eval_dim_768_cosine_accuracy@3': 0.5982468955441929, 'eval_dim_768_cosine_accuracy@5': 0.6572315558802045, 'eval_dim_768_cosine_accuracy@10': 0.7363038714390066, 'eval_dim_768_cosine_precision@1': 0.4368151935719503, 'eval_dim_768_cosine_precision@3': 0.19941563184806427, 'eval_dim_768_cosine_precision@5': 0.1314463111760409, 'eval_dim_768_cosine_precision@10': 0.07363038714390065, 'eval_dim_768_cosine_recall@1': 0.4368151935719503, 'eval_dim_768_cosine_recall@3': 0.5982468955441929, 'eval_dim_768_cosine_recall@5': 0.6572315558802045, 'eval_dim_768_cosine_recall@10': 0.7363038714390066, 'eval_dim_768_cosine_ndcg@10': 0.5817342872193604, 'eval_dim_768_cosine_mrr@10': 0.5328933180284535, 'eval_dim_768_cosine_map@100': 0.5411831393054095, 'eval_runtime': 9.2632, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 2.0}
{'loss': 0.0062, 'grad_norm': 0.09269726276397705, 'learning_rate': 1e-06, 'epoch': 2.01}
{'loss': 0.006, 'grad_norm': 0.06603602319955826, 'learning_rate': 1e-06, 'epoch': 2.05}
{'loss': 0.0059, 'grad_norm': 0.11635581403970718, 'learning_rate': 1e-06, 'epoch': 2.1}
{'loss': 0.0061, 'grad_norm': 0.1125706136226654, 'learning_rate': 1e-06, 'epoch': 2.15}
{'loss': 0.0061, 'grad_norm': 0.12265685200691223, 'learning_rate': 1e-06, 'epoch': 2.19}
{'loss': 0.0057, 'grad_norm': 0.0891505777835846, 'learning_rate': 1e-06, 'epoch': 2.24}
{'loss': 0.0059, 'grad_norm': 0.10274539142847061, 'learning_rate': 1e-06, 'epoch': 2.28}
{'loss': 0.0056, 'grad_norm': 0.06757446378469467, 'learning_rate': 1e-06, 'epoch': 2.33}
{'loss': 0.0053, 'grad_norm': 0.09019504487514496, 'learning_rate': 1e-06, 'epoch': 2.37}
{'loss': 0.0057, 'grad_norm': 0.06104665622115135, 'learning_rate': 1e-06, 'epoch': 2.42}
{'loss': 0.0054, 'grad_norm': 0.08581386506557465, 'learning_rate': 1e-06, 'epoch': 2.46}
{'loss': 0.0055, 'grad_norm': 0.09040834754705429, 'learning_rate': 1e-06, 'epoch': 2.51}
{'loss': 0.0055, 'grad_norm': 0.09154617041349411, 'learning_rate': 1e-06, 'epoch': 2.56}
{'loss': 0.0057, 'grad_norm': 0.10852906852960587, 'learning_rate': 1e-06, 'epoch': 2.6}
{'loss': 0.0054, 'grad_norm': 0.09952837228775024, 'learning_rate': 1e-06, 'epoch': 2.65}
{'loss': 0.0055, 'grad_norm': 0.09832948446273804, 'learning_rate': 1e-06, 'epoch': 2.69}
{'loss': 0.0058, 'grad_norm': 0.07538984715938568, 'learning_rate': 1e-06, 'epoch': 2.74}
